지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
239,세종,2022-01-11,-4.5,-7.4,2400.0,-0.4,204.0,,,,,,0.1,9.2,340,454,6.3,340,504,2.8,2443.0,320.0,-12.9,33.0,1336.0,52.9,2.3,1009.4,1024.7,2338,1016.7,402.0,1020.9,9.8,7.9,,,,,,,,,4.3,1.8,-0.9,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-12,-5.8,-11.5,733.0,0.2,1434.0,,,,,,,6.4,340,1602,3.7,320,1606,1.3,1087.0,320.0,-15.0,28.0,1605.0,50.0,1.9,1011.7,1025.3,241,1021.1,1508.0,1023.3,9.9,7.9,,,,,,,,,3.1,0.3,-2.6,-14.4,,,,,,,,,,,,,,
239,세종,2022-01-13,-4.9,-7.7,316.0,-1.0,1410.0,,,,,,,10.7,340,1257,5.7,340,1303,2.3,2001.0,320.0,-13.3,34.0,1414.0,53.3,2.2,1010.8,1026.0,2329,1019.5,517.0,1022.4,9.9,6.6,,,,,,,,,5.0,3.4,-2.2,-11.6,,,,,,,,,,,,,,
239,세종,2022-01-14,-4.5,-10.7,720.0,2.4,1428.0,,,,,,,4.3,270,1142,2.2,320,17,0.7,629.0,320.0,-15.4,22.0,1505.0,46.0,1.9,1014.6,1028.5,1056,1023.9,1708.0,1026.2,9.9,7.9,,,,,,,,,3.0,1.9,-2.3,-14.8,,,,,,,,,,,,,,
239,세종,2022-01-15,-0.1,-6.6,716.0,5.5,1526.0,,,,,,,3.7,160,2242,2.1,320,2330,0.7,566.0,320.0,-11.0,26.0,1253.0,45.0,2.7,1012.0,1026.0,1,1021.4,1548.0,1023.4,9.9,3.5,,,,,,,,,5.8,3.8,0.2,-11.1,,,,,,,,,,,,,,
239,세종,2022-01-16,-0.3,-5.1,2317.0,2.9,346.0,,,,,,0.5,7.6,320,1319,4.6,340,1533,1.9,1614.0,320.0,-9.4,25.0,1319.0,52.4,3.2,1014.0,1028.3,2206,1021.7,455.0,1025.4,9.9,8.0,,,,,,,,,2.0,1.3,1.1,-11.4,,,,,,,,,,,,,,
239,세종,2022-01-17,-3.5,-8.0,814.0,1.9,1429.0,,,,,,,9.0,340,2023,6.3,340,2031,1.7,1477.0,320.0,-10.7,43.0,2342.0,58.1,2.8,1016.2,1029.8,954,1024.7,1508.0,1027.7,10.0,5.8,,,,,,,,,6.1,1.5,-2.8,-12.0,,,,,,,,,,,,,,
239,세종,2022-01-18,-4.5,-10.1,800.0,1.6,1542.0,,,,,,,4.7,340,135,2.9,320,15,1.1,957.0,290.0,-16.8,18.0,1502.0,40.3,1.7,1017.2,1031.0,1041,1026.5,1601.0,1028.8,10.0,8.1,,,,,,,,,0.0,0.0,-1.7,-15.1,,,,,,,,,,,,,,
239,세종,2022-01-19,-3.9,-9.5,809.0,2.1,1340.0,,,,,,0.3,8.3,320,2123,5.4,320,2132,1.2,995.0,290.0,-9.9,35.0,1322.0,64.1,3.0,1013.6,1028.5,1,1021.9,1720.0,1025.1,10.0,3.5,,,,,,,,,4.4,1.9,-3.6,-13.4,,,,,,,,,,,,,,
239,세종,2022-01-20,-4.4,-10.7,539.0,2.1,1556.0,,,,,,,3.7,290,22,2.7,320,153,0.9,813.0,320.0,-12.3,29.0,1456.0,56.9,2.4,1017.3,1030.6,2234,1025.7,1.0,1028.9,10.0,8.1,,,,,,,,,0.1,0.0,-1.8,-14.3,,,,,,,,,,,,,,
239,세종,2022-01-21,-2.5,-9.4,719.0,5.2,1544.0,,,,,,,3.1,110,1506,1.8,70,1200,0.5,472.0,70.0,-12.0,20.0,1536.0,52.8,2.5,1018.7,1032.9,1029,1028.4,1649.0,1030.2,10.1,8.1,,,,,,,,,2.6,1.4,-1.4,-14.4,,,,,,,,,,,,,,
239,세종,2022-01-22,2.5,-3.5,19.0,8.8,1513.0,,,,,,,2.9,320,1446,1.6,20,1548,0.5,455.0,50.0,-7.6,31.0,1335.0,48.1,3.5,1014.7,1028.6,1,1023.9,1825.0,1025.9,10.1,2.5,,,,,,,,,8.3,7.6,2.5,-10.5,,,,,,,,,,,,,,
239,세종,2022-01-23,3.9,-0.2,2356.0,9.6,1412.0,,,,,,,3.6,320,1836,2.6,340,1722,0.8,677.0,70.0,-6.1,34.0,1410.0,49.1,3.9,1010.4,1024.4,1,1019.0,1630.0,1021.5,10.1,3.8,,,,,,,,,5.1,3.4,4.3,-7.4,,,,,,,,,,,,,,
239,세종,2022-01-24,3.8,-2.1,744.0,8.7,1322.0,,,,,,,6.7,50,1053,4.6,70,1054,1.6,1399.0,70.0,-5.2,37.0,1323.0,54.1,4.2,1010.5,1022.8,829,1020.2,1551.0,1021.7,10.2,5.4,,,,,,,,,4.1,3.4,2.0,-8.6,,,,,,,,,,,,,,
239,세종,2022-01-25,2.5,-0.3,2322.0,4.8,1.0,,,,,,1.1,3.1,340,1351,2.4,340,1352,0.9,757.0,70.0,-0.3,48.0,1.0,83.6,6.1,1010.4,1023.0,2318,1020.2,1612.0,1021.6,10.2,0.0,,,,,,,,,6.9,4.4,1.1,-4.9,,,,,,,,,,,,,,
239,세종,2022-01-26,2.0,-1.5,719.0,6.7,1331.0,,,,,,,5.0,320,1918,3.2,320,1902,1.1,920.0,290.0,-4.8,39.0,1633.0,63.1,4.4,1013.5,1026.1,2231,1023.1,1.0,1024.8,10.2,5.7,,,,,,,,,6.0,3.4,1.3,-7.0,,,,,,,,,,,,,,
239,세종,2022-01-27,-0.2,-3.9,720.0,6.0,1506.0,,,,,,,4.9,320,1655,3.1,340,1657,0.9,785.0,290.0,-9.5,24.0,1550.0,52.1,3.0,1013.8,1026.7,919,1022.5,1453.0,1025.2,10.2,7.3,,,,,,,,,3.4,1.8,1.0,-9.4,,,,,,,,,,,,,,
239,세종,2022-01-28,-1.2,-5.3,713.0,4.4,1517.0,,,,,,,5.6,250,1258,3.1,320,1531,1.2,1035.0,290.0,-11.3,23.0,1553.0,49.3,2.7,1013.5,1027.0,904,1023.1,1754.0,1024.9,10.3,8.5,,,,,,,,,4.9,3.3,0.6,-10.2,,,,,,,,,,,,,,
239,세종,2022-01-29,-2.5,-6.0,743.0,2.9,1416.0,,,,,,,6.6,320,1641,4.7,320,1408,1.5,1259.0,290.0,-13.2,20.0,1426.0,47.1,2.3,1011.2,1024.7,46,1020.1,1503.0,1022.6,10.3,8.3,,,,,,,,,2.8,1.3,-0.5,-11.1,,,,,,,,,,,,,,
239,세종,2022-01-30,-2.7,-8.2,744.0,3.6,1448.0,,,,,,,5.4,320,1316,3.6,320,1727,1.1,941.0,320.0,-13.4,20.0,1538.0,47.0,2.2,1011.1,1024.5,2400,1020.4,1447.0,1022.5,10.3,8.6,,,,,,,,,1.8,0.4,-1.0,-12.0,,,,,,,,,,,,,,
239,세종,2022-01-31,-1.1,-9.1,720.0,6.0,1515.0,,,,,,0.4,4.5,290,1334,3.0,160,2118,0.9,802.0,90.0,-8.8,29.0,1233.0,58.8,3.2,1013.1,1027.0,910,1022.9,2125.0,1024.5,10.3,8.7,,,,,,,,,2.3,1.4,0.1,-12.3,,,,,,,,,,,,,,
239,세종,2022-02-01,0.0,-2.1,444.0,2.9,1256.0,,,,,,0.1,7.9,270,1205,4.4,320,1231,1.4,1242.0,290.0,-5.9,52.0,1259.0,65.3,4.0,1014.6,1029.3,2314,1023.2,421.0,1026.0,10.4,5.3,,,,,,,,,4.6,2.5,1.1,-7.3,,,,,,,,,,,,,,
239,세종,2022-02-02,-0.9,-3.5,2106.0,2.7,1440.0,,,,,,,7.7,340,1623,5.5,340,1657,1.5,1272.0,290.0,-11.5,22.0,1619.0,45.9,2.6,1017.0,1030.0,1109,1027.3,1542.0,1028.5,10.4,6.7,,,,,,,,,3.6,3.3,1.8,-9.0,,,,,,,,,,,,,,
239,세종,2022-02-03,-2.3,-5.9,405.0,2.7,1320.0,,,,,,,8.8,290,1416,4.8,340,1418,1.8,1546.0,290.0,-13.1,20.0,1323.0,46.1,2.3,1015.9,1028.7,825,1025.6,1500.0,1027.4,10.5,8.7,,,,,,,,,2.9,0.8,0.5,-10.9,,,,,,,,,,,,,,
239,세종,2022-02-04,-3.1,-6.4,221.0,1.7,1442.0,,,,,,0.1,7.5,320,1347,5.0,340,1617,1.8,1522.0,290.0,-11.1,30.0,1403.0,55.0,2.6,1014.0,1027.5,158,1023.5,1459.0,1025.5,10.5,7.1,,,,,,,,,7.0,2.9,1.1,-9.7,,,,,,,,,,,,,,
239,세종,2022-02-05,-4.9,-8.9,731.0,-0.2,1427.0,,,,,,0.0,8.1,320,1436,4.3,340,31,1.8,1584.0,320.0,-12.0,36.0,1336.0,58.4,2.4,1015.4,1028.6,2355,1024.9,1422.0,1027.0,10.5,7.2,,,,,,,,,3.9,1.4,-1.2,-11.6,,,,,,,,,,,,,,
239,세종,2022-02-06,-3.1,-9.6,707.0,2.9,1518.0,,,,,,,7.7,360,1505,4.6,320,1529,1.4,1180.0,320.0,-10.7,28.0,1521.0,58.4,2.7,1017.0,1029.8,2354,1026.4,1539.0,1028.6,10.5,6.8,,,,,,,,,2.3,0.5,-1.3,-12.1,,,,,,,,,,,,,,
239,세종,2022-02-07,-2.2,-8.2,701.0,2.3,1424.0,,,,,,,6.6,320,1555,4.8,340,1555,1.3,1084.0,20.0,-13.1,23.0,1426.0,46.4,2.3,1017.2,1030.5,923,1026.3,1507.0,1028.7,10.6,4.1,,,,,,,,,6.8,2.1,-0.6,-12.1,,,,,,,,,,,,,,
239,세종,2022-02-08,-0.5,-6.1,603.0,6.4,1348.0,,,,,,,6.0,320,1509,3.6,340,1346,1.1,921.0,320.0,-10.7,25.0,1544.0,47.6,2.7,1016.4,1029.1,2316,1026.0,1619.0,1027.8,10.6,6.8,,,,,,,,,4.1,1.9,1.5,-10.9,,,,,,,,,,,,,,
239,세종,2022-02-09,0.9,-6.3,723.0,7.7,1556.0,,,,,,,4.3,340,1830,2.5,320,1835,0.7,563.0,340.0,-11.4,13.0,1617.0,44.6,2.6,1014.1,1029.0,813,1022.5,1647.0,1025.4,10.6,8.8,,,,,,,,,5.4,2.9,2.4,-11.4,,,,,,,,,,,,,,
239,세종,2022-02-10,2.2,-1.8,723.0,8.2,1351.0,,,,,,,7.4,320,1352,4.7,340,1542,1.3,1130.0,340.0,-10.7,17.0,1336.0,39.8,2.7,1012.2,1025.5,2251,1021.7,1424.0,1023.4,10.7,8.7,,,,,,,,,2.0,1.9,3.9,-8.4,,,,,,,,,,,,,,
239,세종,2022-02-11,2.2,-4.7,627.0,10.0,1547.0,,,,,,,5.5,360,1613,3.8,320,1703,1.0,833.0,70.0,-9.2,16.0,1502.0,46.1,3.1,1015.1,1028.7,906,1024.7,1607.0,1026.4,10.7,9.0,,,,,,,,,3.5,0.9,3.5,-10.4,,,,,,,,,,,,,,
239,세종,2022-02-12,4.1,-1.9,701.0,11.2,1511.0,,,,,,,4.5,360,1747,3.2,340,1751,0.8,693.0,70.0,-7.7,13.0,1329.0,45.0,3.5,1013.5,1027.3,906,1022.2,1630.0,1024.7,10.7,8.8,,,,,,,,,4.4,2.3,4.7,-7.2,,,,,,,,,,,,,,
239,세종,2022-02-13,4.5,-0.4,734.0,10.6,1516.0,,,,,,,3.9,340,1638,2.3,20,1713,0.7,587.0,20.0,-5.8,23.0,1746.0,49.4,4.0,1010.4,1023.3,1,1019.4,1757.0,1021.6,10.8,4.4,,,,,,,,,4.6,1.9,3.5,-6.7,,,,,,,,,,,,,,
239,세종,2022-02-14,3.5,-2.2,701.0,11.3,1327.0,,,,,,0.4,7.1,340,1501,3.9,290,1505,1.5,1282.0,290.0,-5.4,19.0,1451.0,56.4,4.2,1009.4,1022.1,255,1017.6,1457.0,1020.6,10.8,7.3,,,,,,,,,3.8,1.5,4.6,-7.3,,,,,,,,,,,,,,
239,세종,2022-02-15,-3.1,-6.5,2353.0,0.0,4.0,,,,,,,8.0,320,1553,4.8,320,1445,2.3,1980.0,290.0,-10.0,46.0,1125.0,58.8,2.9,1011.1,1024.0,2140,1021.0,342.0,1022.6,10.9,4.4,,,,,,,,,7.1,2.0,0.5,-9.9,,,,,,,,,,,,,,
239,세종,2022-02-16,-5.9,-8.7,713.0,-2.1,1501.0,,,,,,0.1,9.0,340,1635,5.4,320,1401,2.4,2032.0,320.0,-13.6,31.0,1639.0,57.1,2.2,1012.7,1025.9,2346,1022.7,1501.0,1024.3,10.9,5.9,,,,,,,,,4.9,2.1,-0.7,-10.4,,,,,,,,,,,,,,
239,세종,2022-02-17,-5.8,-10.4,615.0,-1.1,1605.0,,,,,,,7.1,340,1240,5.1,340,1246,1.5,1327.0,320.0,-16.4,27.0,1413.0,44.4,1.7,1017.0,1031.6,2344,1025.9,1.0,1028.6,10.9,8.9,,,,,,,,,1.0,0.0,-0.6,-13.9,,,,,,,,,,,,,,
239,세종,2022-02-18,-1.5,-10.2,615.0,6.4,1604.0,,,,,,,4.6,290,1538,2.6,340,1545,0.8,687.0,320.0,-15.5,14.0,1448.0,39.4,1.9,1018.3,1033.8,834,1026.1,2328.0,1029.8,11.0,9.1,,,,,,,,,6.9,2.5,2.0,-13.2,,,,,,,,,,,,,,
239,세종,2022-02-19,-0.3,-4.2,2346.0,3.8,1526.0,,,,,,,7.2,360,2031,4.6,320,2322,1.8,1529.0,320.0,-10.8,30.0,1.0,45.3,2.7,1012.7,1026.8,12,1021.8,1632.0,1024.1,11.0,2.1,,,,,,,,,9.0,3.6,1.0,-8.1,,,,,,,,,,,,,,
239,세종,2022-02-20,-3.9,-6.7,729.0,0.1,1443.0,,,,,,,12.6,320,1047,7.1,340,1038,2.8,2429.0,320.0,-15.7,18.0,1327.0,42.4,1.9,1015.5,1029.8,2159,1024.2,400.0,1027.1,11.0,9.4,,,,,,,,,1.1,0.3,1.1,-11.1,,,,,,,,,,,,,,
239,세종,2022-02-21,-1.6,-8.8,730.0,5.0,1356.0,,,,,,,7.9,290,1520,4.4,290,1636,1.5,1328.0,290.0,-10.2,33.0,1400.0,53.5,2.8,1017.3,1031.0,2400,1025.8,1509.0,1028.8,11.1,6.1,,,,,,,,,3.4,0.8,0.2,-12.2,,,,,,,,,,,,,,
239,세종,2022-02-22,-2.9,-5.8,2400.0,2.0,1235.0,,,,,,,8.1,320,112,4.9,320,118,2.2,1915.0,320.0,-14.0,22.0,938.0,44.3,2.2,1020.8,1034.1,901,1030.4,1631.0,1032.4,11.1,8.2,,,,,,,,,4.8,2.0,-0.2,-10.4,,,,,,,,,,,,,,
239,세종,2022-02-23,-4.7,-10.1,722.0,1.2,1451.0,,,,,,,7.9,320,1602,5.7,340,1710,2.0,1726.0,320.0,-18.0,14.0,1620.0,35.5,1.5,1021.7,1035.7,917,1030.6,1527.0,1033.4,11.1,9.4,,,,,,,,,3.0,0.5,0.4,-13.1,,,,,,,,,,,,,,
239,세종,2022-02-24,-2.3,-10.2,642.0,4.8,1507.0,,,,,,,7.8,320,1615,4.1,320,1623,1.3,1129.0,290.0,-13.3,21.0,1413.0,45.6,2.2,1019.8,1033.7,838,1028.9,1637.0,1031.3,11.2,9.5,,,,,,,,,0.6,0.0,1.6,-13.8,,,,,,,,,,,,,,
239,세종,2022-02-25,2.4,-5.8,502.0,10.3,1507.0,,,,,,,5.8,290,1534,3.1,290,1536,1.2,1056.0,160.0,-4.1,30.0,1533.0,64.9,4.6,1016.1,1030.4,913,1024.9,1730.0,1027.4,11.2,8.2,,,,,,,,,2.4,1.8,4.3,-10.7,,,,,,,,,,,,,,
239,세종,2022-02-26,6.1,1.2,204.0,11.7,1418.0,,,,,,1.5,7.7,290,2152,4.5,320,2217,2.2,1866.0,200.0,-0.3,36.0,1513.0,65.6,6.1,1008.1,1025.0,1,1014.1,2028.0,1019.2,11.3,7.7,,,,,,,,,6.0,2.8,7.5,-4.9,,,,,,,,,,,,,,
239,세종,2022-02-27,4.3,-1.3,621.0,11.4,1437.0,,,,,,,6.2,290,1506,3.9,290,1503,1.4,1248.0,290.0,-8.2,15.0,1413.0,44.1,3.4,1011.5,1024.4,940,1018.7,1.0,1022.6,11.3,9.4,,,,,,,,,0.0,0.0,5.2,-7.6,,,,,,,,,,,,,,
239,세종,2022-02-28,6.0,-1.5,643.0,13.0,1550.0,,,,,,,3.8,70,1419,2.4,50,1418,0.8,720.0,70.0,-6.9,16.0,1528.0,45.3,3.8,1010.0,1025.2,739,1016.7,2340.0,1021.1,11.3,6.9,,,,,,,,,5.8,2.3,5.4,-7.2,,,,,,,,,,,,,,
239,세종,2022-03-01,5.7,0.3,2355.0,12.5,1346.0,,,,,,1.4,6.2,320,1602,4.3,320,1752,1.3,1165.0,320.0,-0.1,39.0,1659.0,68.0,6.2,1004.3,1019.3,2335,1012.2,1352.0,1015.4,11.4,4.7,,,,,,,,,5.8,3.6,7.2,-3.9,,,,,,,,,,,,,,
239,세종,2022-03-02,2.5,-4.4,645.0,10.3,1518.0,,,,,,,5.7,290,1455,3.6,270,1415,1.4,1181.0,250.0,-6.2,20.0,1354.0,58.0,3.9,1007.5,1020.5,841,1016.2,1612.0,1018.6,11.4,9.4,,,,,,,,,0.1,0.0,6.0,-8.7,,,,,,,,,,,,,,
239,세종,2022-03-03,5.4,-1.8,611.0,13.6,1530.0,,,,,,,5.7,290,1717,3.1,290,1442,1.3,1159.0,290.0,-5.2,18.0,1726.0,52.5,4.3,1007.3,1020.4,852,1016.4,1657.0,1018.3,11.5,9.3,,,,,,,,,0.6,0.3,6.2,-7.0,,,,,,,,,,,,,,
239,세종,2022-03-04,8.0,-0.8,603.0,16.4,1531.0,,,,,,,9.6,180,1649,5.1,200,1649,1.9,1617.0,180.0,-3.2,24.0,1457.0,49.0,5.0,1002.0,1018.5,150,1008.0,1703.0,1012.9,11.5,6.6,,,,,,,,,5.0,2.6,8.9,-6.7,,,,,,,,,,,,,,
239,세종,2022-03-05,3.2,-1.1,2357.0,8.2,1.0,,,,,,,11.1,340,1544,6.2,320,1549,2.9,2500.0,320.0,-11.6,15.0,1548.0,36.1,2.7,1005.7,1020.9,2330,1010.8,1.0,1016.8,11.5,9.5,,,,,,,,,0.6,0.4,7.7,-7.2,,,,,,,,,,,,,,
239,세종,2022-03-06,1.8,-3.5,651.0,8.5,1451.0,,,,,,,8.5,320,1211,4.5,340,1300,1.9,1661.0,290.0,-14.8,13.0,1154.0,30.8,2.0,1010.8,1024.1,916,1019.5,1555.0,1022.0,11.6,9.6,,,,,,,,,2.1,0.1,6.8,-8.6,,,,,,,,,,,,,,
239,세종,2022-03-07,3.3,-4.3,726.0,11.1,1611.0,,,,,,,6.1,320,1550,3.2,340,1211,1.1,935.0,290.0,-11.5,13.0,1307.0,36.6,2.6,1009.7,1023.3,828,1018.1,1547.0,1020.8,11.6,9.3,,,,,,,,,4.3,2.6,7.5,-8.4,,,,,,,,,,,,,,
239,세종,2022-03-08,5.3,-2.6,653.0,13.5,1606.0,,,,,,,6.0,340,1403,3.0,290,1319,0.9,801.0,20.0,-3.9,30.0,1447.0,53.8,4.6,1008.4,1021.0,933,1017.0,1625.0,1019.5,11.7,9.6,,,,,,,,,2.1,1.1,9.2,-8.1,,,,,,,,,,,,,,
239,세종,2022-03-09,7.0,-0.5,633.0,15.9,1608.0,,,,,,,4.4,360,1458,2.6,360,1459,0.9,745.0,320.0,-3.3,17.0,1423.0,54.1,4.9,1011.0,1024.2,913,1019.8,1.0,1022.0,11.7,7.0,,,,,,,,,2.1,1.5,9.9,-6.4,,,,,,,,,,,,,,
239,세종,2022-03-10,9.1,0.4,410.0,17.4,1422.0,,,,,,,6.2,320,1501,2.8,230,1351,1.0,889.0,70.0,-4.7,8.0,1606.0,43.5,4.4,1009.9,1023.3,805,1018.5,1652.0,1020.9,11.7,7.1,,,,,,,,,5.9,0.9,9.9,-5.7,,,,,,,,,,,,,,
239,세종,2022-03-11,10.7,3.7,601.0,16.9,1458.0,,,,,,,2.9,290,1551,1.9,70,1326,0.5,421.0,320.0,1.2,34.0,1231.0,52.6,6.9,1007.5,1020.4,917,1016.2,1527.0,1018.4,11.8,1.6,,,,,,,,,8.3,5.0,11.5,-2.8,,,,,,,,,,,,,,
239,세종,2022-03-12,15.2,8.9,454.0,21.1,1436.0,,,,,,,6.9,230,1621,3.5,160,1507,1.3,1152.0,160.0,7.6,48.0,1135.0,61.9,10.5,1004.5,1018.5,816,1011.6,2400.0,1015.1,11.8,4.0,,,,,,,,,8.4,7.3,16.5,2.0,,,,,,,,,,,,,,
239,세종,2022-03-13,13.8,11.8,2329.0,16.9,324.0,,,,,,23.7,8.4,180,251,3.3,200,113,1.4,1251.0,180.0,12.0,56.0,1.0,90.0,14.1,1000.5,1013.5,2234,1009.2,1343.0,1011.1,11.9,0.1,,,,,,,,,9.5,7.6,13.3,11.3,,,,,,,,,,,,,,
239,세종,2022-03-14,10.2,5.0,2357.0,14.6,1131.0,,,,,,6.9,7.9,270,1420,3.9,200,1421,1.3,1159.0,290.0,8.7,81.0,2153.0,90.4,11.5,1001.2,1014.8,2254,1008.9,1345.0,1011.9,11.9,0.1,,,,,,,,,9.6,8.1,10.7,4.4,,,,,,,,,,,,,,
239,세종,2022-03-15,8.5,2.2,647.0,16.0,1629.0,,,,,,,5.1,340,1533,2.6,70,1026,1.1,940.0,290.0,1.4,32.0,1608.0,63.9,6.8,1003.6,1017.3,919,1011.3,1846.0,1014.4,11.9,8.0,,,,,,,,,3.3,2.4,11.8,0.1,,,,,,,,,,,,,,
